"","lab_id_number","date_ordered","sample_name","ordered_by","notebook_page_number","srm_order_number","srm_sample_number","SRM_concat","assay","tissue","tumor_type","species","failed","notes","extra_unnamed_col1","source_file","source_sheet"
"41","DYE4277","6/24/26","H9DR_EB_IgG","Nadine Emil","NE 01.26.006 or ROF 01.26.006","877828","3471750","877828-3471750","CUT&tag","embryonic bodies",NA,"human",NA,NA,NA,"HARTWELL_database_Master_2025.xlsx","Sheet1"
"42","DYE4278","6/24/26","H9DR_EB_H3K4me3","Nadine Emil","NE 01.26.006 or ROF 01.26.006","877828","3471751","877828-3471751","CUT&tag","embryoid bodies",NA,"human",NA,NA,NA,"HARTWELL_database_Master_2025_2026.xlsx","Sheet1"
"43","DYE4278","6/24/26","H9DR_EB_H3K4me3","Nadine Emil","NE 01.26.006 or ROF 01.26.006","877828","3471751","877828-3471751","CUT&tag","embryonic bodies",NA,"human",NA,NA,NA,"HARTWELL_database_Master_2025.xlsx","Sheet1"
"44","DYE4279","6/24/26","H9DR_EB_H3K27me3","Nadine Emil","NE 01.26.006 or ROF 01.26.006","877828","3471752","877828-3471752","CUT&tag","embryoid bodies",NA,"human",NA,NA,NA,"HARTWELL_database_Master_2025_2026.xlsx","Sheet1"
"45","DYE4279","6/24/26","H9DR_EB_H3K27me3","Nadine Emil","NE 01.26.006 or ROF 01.26.006","877828","3471752","877828-3471752","CUT&tag","embryonic bodies",NA,"human",NA,NA,NA,"HARTWELL_database_Master_2025.xlsx","Sheet1"
"46","DYE4280","6/24/26","H9DR_EB_H3K27ac","Nadine Emil","NE 01.26.006 or ROF 01.26.006","877828","3471753","877828-3471753","CUT&tag","embryoid bodies",NA,"human",NA,NA,NA,"HARTWELL_database_Master_2025_2026.xlsx","Sheet1"
"47","DYE4280","6/24/26","H9DR_EB_H3K27ac","Nadine Emil","NE 01.26.006 or ROF 01.26.006","877828","3471753","877828-3471753","CUT&tag","embryonic bodies",NA,"human",NA,NA,NA,"HARTWELL_database_Master_2025.xlsx","Sheet1"
"48","MDSEQ 4751","7/15/20","Corrected GBC amplicon from SCOOBY2884_day 0","Patel, Anand","AP_1.19.10","194101","1977951","194101-1977951","Tagged Amplicon","tumor","RMS","human",NA,"MiSeq, Tagged Amplicon, Paired, 100 bps",NA,"HARTWELL_database_Master_2011-2024_CLEANED.txt",NA
"49","MDSEQ 4752","7/15/20","Corrected GBC amplicon from SCOOBY2884_day 3","Patel, Anand","AP_1.19.10","194101","1977951","194101-1977951","Tagged Amplicon","tumor","RMS","human",NA,"MiSeq, Tagged Amplicon, Paired, 100 bps",NA,"HARTWELL_database_Master_2011-2024_CLEANED.txt",NA
"50","MDSEQ 4753","7/15/20","Corrected GBC amplicon from SCOOBY2884_day 21","Patel, Anand","AP_1.19.10","194101","1977951","194101-1977951","Tagged Amplicon","tumor","RMS","human",NA,"MiSeq, Tagged Amplicon, Paired, 100 bps",NA,"HARTWELL_database_Master_2011-2024_CLEANED.txt",NA
"51","MDSEQ 4754","7/15/20","Corrected GBC amplicon from SCOOBY2884_day 28","Patel, Anand","AP_1.19.10","194101","1977951","194101-1977951","Tagged Amplicon","tumor","RMS","human",NA,"MiSeq, Tagged Amplicon, Paired, 100 bps",NA,"HARTWELL_database_Master_2011-2024_CLEANED.txt",NA
"52","MDSEQ8369","7/8/26","pilot_EB_IgG","Nadine Emil","NE 01.26.006 or ROF 01.26.006","877828","3471750","877828-3471750","CUT&tag","embryoid bodies",NA,"human",NA,NA,NA,"HARTWELL_database_Master_2025_2026.xlsx","Sheet1"
"53","MDSEQ8370","7/8/26","pilot_EB_H3K4me3","Nadine Emil","NE 01.26.006 or ROF 01.26.006","877828","3471751","877828-3471751","CUT&tag","embryoid bodies",NA,"human",NA,NA,NA,"HARTWELL_database_Master_2025_2026.xlsx","Sheet1"
"54","MDSEQ8371","7/8/26","pilot_EB_H3K27me3","Nadine Emil","NE 01.26.006 or ROF 01.26.006","877828","3471752","877828-3471752","CUT&tag","embryoid bodies",NA,"human",NA,NA,NA,"HARTWELL_database_Master_2025_2026.xlsx","Sheet1"
"55","MDSEQ8372","7/8/26","pilot_EB_H3K27ac","Nadine Emil","NE 01.26.006 or ROF 01.26.006","877828","3471753","877828-3471753","CUT&tag","embryoid bodies",NA,"human",NA,NA,NA,"HARTWELL_database_Master_2025_2026.xlsx","Sheet1"
